track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Chicago (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",190826,4/7/1971,33,0.555,0.41,9,-10.21,0,0.033,0.912,1.69e-05,0.866,0.405,147.037,4
Chicago (Graham Nash),Songs For Beginners,studio,Graham Nash,171440,1971,41,0.662,0.332,9,-11.939,0,0.0306,0.286,0.0,0.142,0.638,82.28,4
Chippin' Away,Innocent Eyes,studio,Graham Nash,236466,1986,8,0.659,0.562,2,-12.742,1,0.0271,0.363,2.23e-05,0.0439,0.97,92.734,4
Church (Part Of Someone),Stephen Stills,studio,Stephen Stills,245560,1970,23,0.452,0.372,7,-11.78,1,0.0339,0.334,4.39e-06,0.144,0.227,113.302,3
Cinnamon Girl - Live at the Cellar Door,Live at the Cellar Door,live,Neil Young,209426,12/3/2013,13,0.521,0.466,7,-11.935,1,0.104,0.976,0.00784,0.579,0.532,105.428,4
Circlin',Illegal Stills,studio,Stephen Stills,259640,1976,4,0.607,0.812,0,-11.805,1,0.0349,0.0878,8.61e-05,0.141,0.673,126.991,4
Classical Gas Rap - Live - Canterbury House 1968,Sugar Mountain - Live at Canterbury House 1968,live,Neil Young,40546,11/28/2008,5,0.487,0.0746,7,-27.727,1,0.0564,0.803,8.04e-06,0.133,0.629,138.953,3
Clear Blue Skies,American Dream,studio,"Crosby, Stills, Nash & Young",187293,11/11/1988,33,0.571,0.436,7,-15.903,1,0.0248,0.265,0.0,0.151,0.904,104.763,4
Closer to You,Illegal Stills,studio,Stephen Stills,214906,1976,17,0.544,0.813,2,-9.714,1,0.0416,0.344,1.54e-06,0.162,0.748,157.97,4
Coast Road,If I Could Only Remember My Name,studio,David Crosby,315986,1971,9,0.467,0.235,8,-16.894,1,0.0274,0.738,0.0799,0.354,0.134,94.893,4
