track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Families,Deja Vu Live,live,"Crosby, Stills, Nash & Young",178026,7/22/2008,20,0.468,0.669,7,-9.908,1,0.0376,0.699,0.000403,0.92,0.465,131.306,4
For What It's Worth,Deja Vu Live,live,"Crosby, Stills, Nash & Young",289800,7/22/2008,20,0.321,0.596,9,-9.847,1,0.0366,0.836,0.00139,0.973,0.403,179.042,4
Let's Impeach the President,Deja Vu Live,live,"Crosby, Stills, Nash & Young",342946,7/22/2008,23,0.548,0.764,9,-9.083,1,0.0506,0.176,0,0.716,0.385,118.795,4
Living With War,Deja Vu Live,live,"Crosby, Stills, Nash & Young",323626,7/22/2008,18,0.464,0.611,4,-8.66,1,0.0285,0.484,0.00101,0.99,0.296,107.959,4
Looking for a Leader,Deja Vu Live,live,"Crosby, Stills, Nash & Young",235573,7/22/2008,19,0.417,0.696,8,-8.789,0,0.032,0.334,8.25E-06,0.957,0.454,150.377,4
Military Madness,Deja Vu Live,live,"Crosby, Stills, Nash & Young",241973,7/22/2008,24,0.406,0.697,9,-8.921,1,0.0413,0.52,0.000257,0.985,0.294,123.503,4
Roger and Out,Deja Vu Live,live,"Crosby, Stills, Nash & Young",337426,7/22/2008,17,0.309,0.367,6,-12.243,1,0.0333,0.648,0.0243,0.968,0.101,120.144,4
Shock and Awe,Deja Vu Live,live,"Crosby, Stills, Nash & Young",308293,7/22/2008,22,0.423,0.721,11,-8.827,0,0.0378,0.0389,0.00723,0.993,0.359,133.294,4
The Restless Consumer,Deja Vu Live,live,"Crosby, Stills, Nash & Young",383985,7/22/2008,16,0.431,0.692,9,-7.949,1,0.0352,0.117,0,0.698,0.169,125.759,4
What Are Their Names?,Deja Vu Live,live,"Crosby, Stills, Nash & Young",148493,7/22/2008,26,0.636,0.568,9,-13.587,0,0.233,0.828,0,0.944,0.25,114.69,4
Wooden Ships,Deja Vu Live,live,"Crosby, Stills, Nash & Young",498293,7/22/2008,22,0.295,0.604,0,-9.848,1,0.0545,0.601,0.0129,0.99,0.4,154.428,4
Dream for Him,Looking Forward,studio,"Crosby, Stills, Nash & Young",302840,10/15/1999,17,0.422,0.455,4,-14.287,1,0.0432,0.701,0.0257,0.116,0.533,172.594,4
Faith in Me,Looking Forward,studio,"Crosby, Stills, Nash & Young",260440,10/15/1999,20,0.684,0.789,4,-9.087,1,0.0936,0.205,0,0.0934,0.856,97.905,4
Heartland,Looking Forward,studio,"Crosby, Stills, Nash & Young",268866,10/15/1999,21,0.496,0.414,4,-10.309,0,0.0436,0.799,0,0.0989,0.356,142.43,4
Looking Forward,Looking Forward,studio,"Crosby, Stills, Nash & Young",187466,10/15/1999,27,0.494,0.27,7,-14.63,1,0.0281,0.778,0.000285,0.117,0.375,165.969,4
No Tears Left,Looking Forward,studio,"Crosby, Stills, Nash & Young",306933,10/15/1999,18,0.458,0.774,7,-8.357,1,0.0418,0.0807,2.36E-06,0.3,0.778,170.085,4
Out of Control,Looking Forward,studio,"Crosby, Stills, Nash & Young",249893,10/15/1999,18,0.566,0.338,0,-12.166,1,0.0272,0.781,2.83E-06,0.112,0.3,95.004,4
Queen of Them All,Looking Forward,studio,"Crosby, Stills, Nash & Young",263440,10/15/1999,16,0.668,0.689,4,-8.393,1,0.0299,0.16,0.00119,0.13,0.954,136.959,4
Sanibel,Looking Forward,studio,"Crosby, Stills, Nash & Young",260760,10/15/1999,31,0.73,0.32,7,-10.986,1,0.0327,0.69,1.82E-06,0.11,0.428,115.108,4
Seen Enough,Looking Forward,studio,"Crosby, Stills, Nash & Young",314200,10/15/1999,18,0.552,0.464,2,-10.059,0,0.0477,0.277,2.79E-05,0.11,0.85,144.471,4
Slowpoke,Looking Forward,studio,"Crosby, Stills, Nash & Young",271866,10/15/1999,31,0.645,0.261,7,-12.46,1,0.0274,0.491,0.00785,0.0865,0.263,78.306,4
Someday Soon,Looking Forward,studio,"Crosby, Stills, Nash & Young",223800,10/15/1999,22,0.784,0.308,2,-13.884,1,0.0314,0.564,0.00151,0.147,0.657,86.601,4
Stand and Be Counted,Looking Forward,studio,"Crosby, Stills, Nash & Young",292560,10/15/1999,21,0.554,0.545,9,-9.997,1,0.0292,0.404,0.00196,0.357,0.586,94.368,4
