track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Johnny's Garden,CSN 2012,live,"Crosby, Stills & Nash",322093,7/10/2012,11,0.562,0.353,0,-18.099,1,0.261,0.815,5.81E-05,0.127,0.592,75.048,4
Lay Me Down,CSN 2012,live,"Crosby, Stills & Nash",308706,7/10/2012,23,0.442,0.227,10,-18.103,0,0.0693,0.741,4.57E-06,0.0892,0.245,89.646,4
Love The One You're With,CSN 2012,live,"Crosby, Stills & Nash",434120,7/10/2012,19,0.401,0.794,9,-7.911,1,0.224,0.571,2.76E-05,0.261,0.611,95.889,4
Military Madness,CSN 2012,live,"Crosby, Stills & Nash",256773,7/10/2012,23,0.347,0.851,9,-6.667,1,0.325,0.426,4.22E-06,0.394,0.363,125.12,4
Our House,CSN 2012,live,"Crosby, Stills & Nash",226560,7/10/2012,37,0.47,0.462,9,-10.656,1,0.0519,0.889,6.30E-05,0.646,0.333,129.135,4
Radio,CSN 2012,live,"Crosby, Stills & Nash",228840,7/10/2012,10,0.453,0.792,7,-7.824,1,0.0758,0.747,2.53E-05,0.707,0.624,178.016,4
So Begins The Task,CSN 2012,live,"Crosby, Stills & Nash",243613,7/10/2012,9,0.493,0.414,0,-14.951,1,0.0659,0.827,6.24E-05,0.737,0.453,76.778,4
Daylight Again,Daylight Again,studio,"Crosby, Stills & Nash",149173,6/21/1982,33,0.373,0.112,2,-16.381,0,0.0334,0.815,5.11E-06,0.179,0.37,156.157,4
Delta,Daylight Again,studio,"Crosby, Stills & Nash",248600,6/21/1982,23,0.495,0.19,10,-14.046,1,0.0308,0.914,0.00018,0.15,0.185,120.871,4
Feel Your Love,Daylight Again,studio,"Crosby, Stills & Nash",268906,6/21/1982,15,0.695,0.439,9,-13.262,0,0.0325,0.558,0.00131,0.102,0.469,120.282,4
Into the Darkness,Daylight Again,studio,"Crosby, Stills & Nash",201413,6/21/1982,21,0.748,0.561,0,-11.735,1,0.0293,0.162,0.00128,0.0736,0.96,97.46,4
Might as Well Have a Good Time,Daylight Again,studio,"Crosby, Stills & Nash",265733,6/21/1982,23,0.475,0.142,7,-15.15,1,0.0391,0.961,0.0089,0.115,0.275,134.515,4
Raise a Voice,Daylight Again,studio,"Crosby, Stills & Nash",152080,6/21/1982,23,0.662,0.463,7,-11.548,1,0.0245,0.138,1.57E-05,0.12,0.608,110.517,4
