track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Long Time Gone,It's All Coming Back to Me Now,live,David Crosby,341040,1/24/1995,5,0.505,0.566,7,-9.752,1,0.0572,0.746,5.68E-05,0.736,0.607,114.664,4
Rusty and Blue,It's All Coming Back to Me Now,live,David Crosby,428333,1/24/1995,5,0.535,0.32,0,-16.508,1,0.0559,0.766,0.000957,0.694,0.529,122.858,4
Till It Shines on You,It's All Coming Back to Me Now,live,David Crosby,338640,1/24/1995,4,0.65,0.628,9,-11.6,0,0.0574,0.675,0.0015,0.682,0.779,113.875,4
Wooden Ships,It's All Coming Back to Me Now,live,David Crosby,636493,1/24/1995,5,0.301,0.692,4,-10.767,0,0.0867,0.544,0.00037,0.811,0.461,78.528,4
By the Light of Common Day,Lighthouse,studio,David Crosby,375293,10/21/2016,12,0.686,0.152,0,-14.101,1,0.0403,0.918,0.00045,0.171,0.245,121.811,4
Drive Out to the Desert,Lighthouse,studio,David Crosby,256680,10/21/2016,9,0.638,0.0846,7,-16.578,1,0.0542,0.906,7.45E-05,0.113,0.0822,104.465,4
Look in Their Eyes,Lighthouse,studio,David Crosby,279360,10/21/2016,9,0.822,0.208,2,-13.147,1,0.0576,0.834,4.45E-05,0.0692,0.251,104.986,4
Paint You a Picture,Lighthouse,studio,David Crosby,265253,10/21/2016,8,0.643,0.154,5,-15.936,1,0.0358,0.85,0.069,0.0928,0.297,109.686,4
Somebody Other Than You,Lighthouse,studio,David Crosby,264200,10/21/2016,8,0.358,0.314,9,-10.77,1,0.0307,0.854,0.000319,0.0907,0.215,86.831,4
The City,Lighthouse,studio,David Crosby,285026,10/21/2016,11,0.81,0.208,7,-11.063,1,0.0434,0.669,0.000176,0.106,0.554,122.925,4
The Us Below,Lighthouse,studio,David Crosby,222946,10/21/2016,11,0.404,0.291,7,-11.161,0,0.0426,0.9,0.00197,0.101,0.134,82.79,4
Things We Do for Love,Lighthouse,studio,David Crosby,255173,10/21/2016,23,0.6,0.147,3,-12.713,1,0.0343,0.924,0.000141,0.102,0.112,114.852,4
What Makes It so?,Lighthouse,studio,David Crosby,240306,10/21/2016,6,0.315,0.205,9,-13.069,0,0.0337,0.839,0.0303,0.129,0.211,85.052,4
Carry Me,Live at the Capitol Theatre,live,David Crosby,206770,12/9/2022,6,0.528,0.33,2,-12.336,1,0.0456,0.827,1.25E-05,0.858,0.294,103.744,4
Guinnevere,Live at the Capitol Theatre,live,David Crosby,279638,12/9/2022,8,0.474,0.369,2,-13.931,1,0.0365,0.864,0.00788,0.699,0.0755,111.073,4
Regina,Live at the Capitol Theatre,live,David Crosby,282760,12/9/2022,7,0.47,0.615,4,-10.324,0,0.0427,0.816,2.04E-06,0.8,0.207,97.597,4
Distances,Oh Yes I Can,studio,David Crosby,215480,1/23/1989,3,0.654,0.175,7,-14.701,1,0.0276,0.734,0.00511,0.0909,0.22,76.326,4
Drive My Car,Oh Yes I Can,studio,David Crosby,213666,1/23/1989,6,0.507,0.838,7,-9.629,1,0.0587,0.106,0.00284,0.157,0.51,102.765,4
Drop Down Mama,Oh Yes I Can,studio,David Crosby,186746,1/23/1989,2,0.623,0.762,2,-10.04,1,0.0399,0.243,0.000207,0.128,0.821,119.765,4
Flying Man,Oh Yes I Can,studio,David Crosby,204360,1/23/1989,3,0.58,0.592,5,-13.083,0,0.0334,0.723,0.303,0.153,0.528,146.269,4
In The Wide Ruin,Oh Yes I Can,studio,David Crosby,286840,1/23/1989,3,0.335,0.159,7,-16.342,1,0.0334,0.516,0.00518,0.112,0.0782,136.549,4
Lady of The Harbor,Oh Yes I Can,studio,David Crosby,199186,1/23/1989,3,0.589,0.272,7,-15.533,1,0.04,0.781,0.00123,0.0825,0.266,72.88,4
Melody,Oh Yes I Can,studio,David Crosby,244653,1/23/1989,5,0.592,0.555,5,-11.728,1,0.0359,0.376,0.00534,0.101,0.641,89.21,4
Monkey and the Underdog,Oh Yes I Can,studio,David Crosby,255920,1/23/1989,4,0.8,0.678,0,-9.438,0,0.0388,0.105,2.06E-06,0.089,0.796,105.843,4
My Country Tis Of Thee,Oh Yes I Can,studio,David Crosby,114866,1/23/1989,4,0.45,0.102,0,-17.24,1,0.0423,0.774,0.000103,0.0951,0.17,84.935,4
Oh Yes I Can,Oh Yes I Can,studio,David Crosby,308426,1/23/1989,4,0.435,0.201,8,-14.146,1,0.0385,0.638,6.17E-06,0.179,0.175,117.397,4
Tracks In The Dust,Oh Yes I Can,studio,David Crosby,286920,1/23/1989,7,0.467,0.087,0,-19.459,1,0.0394,0.811,0,0.104,0.301,169.548,4
Amelia,Sky Trails,studio,David Crosby,337346,9/29/2017,11,0.659,0.148,9,-13.794,1,0.0405,0.877,0.0093,0.117,0.165,122.088,4
Before Tomorrow Falls on Love,Sky Trails,studio,David Crosby,230760,9/29/2017,11,0.528,0.104,0,-16.774,1,0.0341,0.938,0.0205,0.112,0.104,104.301,4
Capitol,Sky Trails,studio,David Crosby,415933,9/29/2017,11,0.62,0.545,5,-10.286,1,0.0525,0.39,0.216,0.0909,0.504,87.773,4
Curved Air,Sky Trails,studio,David Crosby,284026,9/29/2017,9,0.538,0.386,6,-12.847,1,0.0392,0.744,0.0375,0.109,0.177,110.562,4
Here It's Almost Sunset,Sky Trails,studio,David Crosby,232333,9/29/2017,13,0.686,0.274,2,-13.108,1,0.0428,0.729,0.26,0.106,0.31,133.568,4
Home Free,Sky Trails,studio,David Crosby,340680,9/29/2017,9,0.506,0.0951,8,-15.036,1,0.0654,0.916,0.000125,0.11,0.156,115.05,4
Sell Me a Diamond,Sky Trails,studio,David Crosby,327457,9/29/2017,19,0.582,0.535,11,-9.211,0,0.0458,0.234,0.311,0.0654,0.239,77.981,4
She's Got To Be Somewhere,Sky Trails,studio,David Crosby,286080,9/29/2017,27,0.716,0.437,7,-8.442,0,0.0502,0.644,0.517,0.0953,0.789,82.973,4
Sky Trails,Sky Trails,studio,David Crosby,290066,9/29/2017,16,0.557,0.224,2,-15.195,1,0.0284,0.914,0.0398,0.102,0.207,95.914,4
Somebody Home,Sky Trails,studio,David Crosby,277573,9/29/2017,10,0.354,0.122,10,-16.761,1,0.0377,0.922,0.243,0.112,0.0399,81.582,4
Columbus,Thousand Roads,studio,David Crosby,266733,5/4/1993,8,0.683,0.265,0,-16.175,1,0.0443,0.133,5.41E-05,0.0857,0.233,126.995,4
Coverage,Thousand Roads,studio,David Crosby,203466,5/4/1993,7,0.775,0.438,2,-13.699,1,0.0564,0.511,0.0109,0.0876,0.523,129.7,4
Helpless Heart,Thousand Roads,studio,David Crosby,260426,5/4/1993,10,0.53,0.0953,11,-17.974,1,0.0298,0.759,5.01E-06,0.124,0.0546,85.678,4
Hero,Thousand Roads,studio,David Crosby,280240,5/4/1993,32,0.66,0.445,3,-9.715,1,0.0256,0.743,0.000171,0.07,0.409,104.986,4
Natalie,Thousand Roads,studio,David Crosby,295066,5/4/1993,12,0.52,0.18,4,-16.039,1,0.0266,0.556,5.10E-05,0.107,0.21,83.942,4
Old Soldier,Thousand Roads,studio,David Crosby,298666,5/4/1993,12,0.497,0.104,2,-19.555,1,0.0346,0.779,0.00963,0.113,0.196,124.021,3
Thousand Roads,Thousand Roads,studio,David Crosby,272733,5/4/1993,9,0.662,0.292,11,-13.313,0,0.042,0.422,0.00546,0.339,0.572,96.94,4
Through Your Hands,Thousand Roads,studio,David Crosby,275400,5/4/1993,11,0.57,0.471,4,-11.078,1,0.0254,0.101,5.29E-05,0.134,0.2,102.913,4
Too Young to Die,Thousand Roads,studio,David Crosby,347173,5/4/1993,15,0.636,0.301,5,-13.219,1,0.0307,0.256,0.000237,0.114,0.29,85.535,4
Yvette in English,Thousand Roads,studio,David Crosby,355266,5/4/1993,13,0.753,0.133,7,-20.911,0,0.0424,0.873,0.0127,0.0852,0.348,113.036,4
