track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Pre-Road Downs,"Crosby, Stills, Nash & Young",Fillmore East 1970,254720,1970,3,0.436,0.547,9,-13.907,1,0.127,0.608,0.0191,0.0962,0.588,129.024,4
Long Time Gone,"Crosby, Stills, Nash & Young",Fillmore East 1970,378440,1970,6,0.333,0.552,7,-12.098,1,0.0804,0.548,0.00315,0.0634,0.715,182.435,4
Helplessly Hoping,"Crosby, Stills, Nash & Young",Fillmore East 1970,277160,1970,13,0.387,0.312,7,-14.708,1,0.0547,0.776,0.000216,0.23,0.476,162.393,4
Ohio,"Crosby, Stills, Nash & Young",Fillmore East 1970,264666,1970,24,0.328,0.682,0,-11.844,1,0.0623,0.483,0.0,0.407,0.727,155.738,4
As I Come Of Age,"Crosby, Stills, Nash & Young",Fillmore East 1970,307853,1970,4,0.385,0.0865,0,-22.081,1,0.0481,0.872,0.00036,0.862,0.17,140.061,4
Southern Man,"Crosby, Stills, Nash & Young",Fillmore East 1970,701480,1970,21,0.292,0.686,2,-12.016,0,0.0676,0.381,0.00327,0.251,0.665,149.605,4
Woodstock,"Crosby, Stills, Nash & Young",Fillmore East 1970,253146,1970,12,0.463,0.605,0,-11.922,1,0.0426,0.261,4.6e-05,0.894,0.782,112.638,4
Carry On,"Crosby, Stills, Nash & Young",Fillmore East 1970,895866,1970,6,0.436,0.586,9,-15.284,1,0.0444,0.258,0.00515,0.112,0.733,117.594,4
So Begins The Task,"Crosby, Stills, Nash & Young",Fillmore East 1970,279053,1970,2,0.338,0.592,3,-11.903,1,0.066,0.0322,0.137,0.667,0.727,166.976,4
Like A Hurricane,"Crosby, Stills, Nash & Young",Fillmore East 1970,694872,1970,11,0.327,0.68,9,-11.934,0,0.0602,0.799,0.851,0.73,0.338,121.562,4
Wooden Ships,"Crosby, Stills, Nash & Young",Fillmore East 1970,240653,1970,3,0.323,0.7,10,-15.279,1,0.0559,0.055,0.321,0.792,0.667,187.656,4
Find The Cost Of Freedom,"Crosby, Stills, Nash & Young",Fillmore East 1970,124786,1970,7,0.317,0.122,5,-20.608,0,0.0387,0.667,0.000109,0.947,0.416,74.211,4
