track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Military Madness,Graham Nash,Songs For Beginners,176666,1971,38,0.582,0.572,0,-10.711,1,0.0328,0.323,0.0,0.0541,0.506,120.376,4
Better Days,Graham Nash,Songs For Beginners,230173,1971,47,0.48,0.298,6,-13.477,1,0.0356,0.732,0.00283,0.1,0.0557,128.023,4
Wounded Bird,Graham Nash,Songs For Beginners,133066,1971,27,0.526,0.151,4,-15.511,0,0.0363,0.803,0.0,0.126,0.585,146.098,4
I Used to Be a King,Graham Nash,Songs For Beginners,281893,1971,28,0.388,0.519,2,-12.374,0,0.0392,0.0957,8.07e-05,0.0997,0.654,112.737,4
Be Yourself,Graham Nash,Songs For Beginners,189106,1971,24,0.443,0.27,7,-13.564,1,0.0398,0.46,0.0,0.122,0.521,157.591,3
Simple Man,Graham Nash,Songs For Beginners,138133,1971,37,0.413,0.127,0,-14.806,1,0.037,0.957,1.45e-05,0.114,0.265,131.192,4
Man in the Mirror,Graham Nash,Songs For Beginners,168960,1971,22,0.483,0.25,7,-12.737,1,0.036,0.588,0.0,0.14,0.478,115.224,3
There's Only One,Graham Nash,Songs For Beginners,241373,1971,22,0.511,0.327,2,-14.778,1,0.0291,0.427,0.00224,0.11,0.253,122.928,4
Sleep Song,Graham Nash,Songs For Beginners,180160,1971,28,0.442,0.0191,0,-23.396,1,0.0403,0.895,9.39e-06,0.115,0.319,104.734,4
Chicago,Graham Nash,Songs For Beginners,171440,1971,41,0.662,0.332,9,-11.939,0,0.0306,0.286,0.0,0.142,0.638,82.28,4
We Can Change the World,Graham Nash,Songs For Beginners,66560,1971,31,0.489,0.386,0,-12.865,1,0.0427,0.25,0.0,0.207,0.621,165.248,4
