track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Morning Falling,David Crosby,Croz,221573,2014-01-28,11,0.501,0.302,5.0,-13.429,0.0,0.0429,0.863,0.305,0.0597,0.117,79.19,1.0
Find A Heart,David Crosby,Croz,306626,2014-01-28,13,0.591,0.574,0.0,-10.078,1.0,0.0336,0.403,0.0145,0.207,0.69,169.017,3.0
Anticipatory Crowd,David Crosby,Another Stoney Evening,44413,1998-01-13,4,0.221,0.907,3.0,-24.88,1.0,0.185,0.817,0.944,0.967,0.0133,97.034,3.0
Deja Vu,David Crosby,Another Stoney Evening,335400,1998-01-13,7,0.485,0.288,11.0,-16.967,0.0,0.107,0.758,6.65e-05,0.905,0.423,114.363,4.0
Wooden Ships,David Crosby,Another Stoney Evening,357533,1998-01-13,8,0.482,0.262,4.0,-16.001,0.0,0.157,0.644,7.31e-06,0.688,0.319,135.992,3.0
Man In The Mirror,David Crosby,Another Stoney Evening,155586,1998-01-13,5,0.523,0.134,7.0,-16.0,1.0,0.0536,0.581,0.0,0.689,0.316,118.277,4.0
Orleans,David Crosby,Another Stoney Evening,142226,1998-01-13,5,0.337,0.257,2.0,-19.212,1.0,0.0543,0.639,6.28e-05,0.354,0.284,79.623,4.0
I Used To Be A King,David Crosby,Another Stoney Evening,297133,1998-01-13,6,0.533,0.336,7.0,-12.561,1.0,0.0703,0.455,4.63e-06,0.526,0.356,113.235,4.0
Traction In The Rain,David Crosby,Another Stoney Evening,303973,1998-01-13,5,0.446,0.254,2.0,-18.587,1.0,0.278,0.73,0.0,0.725,0.448,93.745,4.0
Lee Shore,David Crosby,Another Stoney Evening,292413,1998-01-13,12,0.344,0.18,4.0,-19.96,0.0,0.105,0.565,0.0,0.367,0.398,73.553,4.0
Southbound Train,David Crosby,Another Stoney Evening,301960,1998-01-13,5,0.584,0.151,5.0,-16.77,1.0,0.0424,0.719,0.0,0.536,0.306,99.783,3.0
Laughing,David Crosby,Another Stoney Evening,300160,1998-01-13,5,0.443,0.146,2.0,-16.829,1.0,0.0563,0.613,0.000157,0.679,0.349,125.037,4.0
Triad,David Crosby,Another Stoney Evening,378813,1998-01-13,5,0.481,0.118,9.0,-17.725,1.0,0.153,0.792,1.77e-05,0.702,0.371,118.253,4.0
Where Will I Be?,David Crosby,Another Stoney Evening,340600,1998-01-13,3,0.378,0.238,9.0,-24.073,1.0,0.126,0.841,0.000556,0.173,0.244,76.821,4.0
Strangers Room,David Crosby,Another Stoney Evening,230960,1998-01-13,3,0.5,0.309,2.0,-17.566,0.0,0.555,0.729,0.0,0.109,0.0637,144.53,4.0
Immigration Man,David Crosby,Another Stoney Evening,248600,1998-01-13,4,0.554,0.54,7.0,-13.045,1.0,0.273,0.915,0.0,0.307,0.644,84.668,4.0
Guinevere,David Crosby,Another Stoney Evening,382173,1998-01-13,6,0.44,0.268,11.0,-19.68,0.0,0.0487,0.798,0.000867,0.711,0.344,96.538,4.0
Teach Your Children,David Crosby,Another Stoney Evening,271023,1998-01-13,3,0.424,0.528,2.0,-13.845,1.0,0.384,0.498,0.0,0.689,0.62,154.788,4.0
Exit Sounds,David Crosby,Another Stoney Evening,137282,1998-01-13,2,0.19,0.219,8.0,-51.196,0.0,0.0973,0.212,0.0,0.368,0.0166,119.335,4.0
Hero,David Crosby,A Thousand Roads,280240,1993-05-04,33,0.66,0.445,3.0,-9.715,1.0,0.0256,0.743,0.000171,0.07,0.409,104.986,4.0
Too Young to Die,David Crosby,A Thousand Roads,347173,1993-05-04,15,0.636,0.301,5.0,-13.219,1.0,0.0307,0.256,0.000237,0.114,0.29,85.535,4.0
Old Soldier,David Crosby,A Thousand Roads,298666,1993-05-04,13,0.497,0.104,2.0,-19.555,1.0,0.0346,0.779,0.00963,0.113,0.196,124.021,3.0
Through Your Hands,David Crosby,A Thousand Roads,275400,1993-05-04,11,0.57,0.471,4.0,-11.078,1.0,0.0254,0.101,5.29e-05,0.134,0.2,102.913,4.0
Yvette in English,David Crosby,A Thousand Roads,355266,1993-05-04,13,0.753,0.133,7.0,-20.911,0.0,0.0424,0.873,0.0127,0.0852,0.348,113.036,4.0
Thousand Roads,David Crosby,A Thousand Roads,272733,1993-05-04,9,0.662,0.292,11.0,-13.313,0.0,0.042,0.422,0.00546,0.339,0.572,96.94,4.0
Columbus,David Crosby,A Thousand Roads,266733,1993-05-04,8,0.683,0.265,0.0,-16.175,1.0,0.0443,0.133,5.41e-05,0.0857,0.233,126.995,4.0
Helpless Heart,David Crosby,A Thousand Roads,260426,1993-05-04,11,0.53,0.0953,11.0,-17.974,1.0,0.0298,0.759,5.01e-06,0.124,0.0546,85.678,4.0
Coverage,David Crosby,A Thousand Roads,203466,1993-05-04,8,0.775,0.438,2.0,-13.699,1.0,0.0564,0.511,0.0109,0.0876,0.523,129.7,4.0
