track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Dirty Little Secret,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Russ Kunkel, Nash",Graham Nash
I'll Be There for You,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Doug Ingoldsby, Nash, Joe Vitale",Graham Nash
Liar's Nightmare,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Nash, Jean Ritchie",Graham Nash
Lost Another One,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",Graham Nash,Graham Nash
Nothing in the World,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",Graham Nash,Graham Nash
Pavanne,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Richard Thompson, Linda Thompson",Graham Nash
The Chelsea Hotel,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",Graham Nash,Graham Nash
Where Love Lies Tonight,Songs for Survivors,studio,Graham Nash,2002-30-07,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Nash, Vitale",Graham Nash
Another Broken Heart,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Back Home,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Beneath the Waves,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Cracks in the City,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
Encore,This Path Tonight,studio,Graham Nash,2016-15-04,,Shane Fontayne,Graham Nash,Graham Nash
